text,intent,answer
"hi",greeting,"Hello! How can I help you today?"
"hello",greeting,"Hello! How can I help you today?"
"hey",greeting,"Hello! How can I help you today?"
"good morning",greeting,"Hello! How can I help you today?"
"what are your opening hours?",opening_hours,"We are open Monday to Friday, 9am–6pm."
"when do you open?",opening_hours,"We are open Monday to Friday, 9am–6pm."
"are you open on weekends?",opening_hours,"We are open Monday to Friday, 9am–6pm."
"track my order 12345",order_status,"You can track your order in your account under Orders."
"where is my order?",order_status,"You can track your order in your account under Orders."
"order status",order_status,"You can track your order in your account under Orders."
"how do I get a refund?",refund_policy,"You can request a refund within 30 days from your account page."
"refund policy",refund_policy,"You can request a refund within 30 days from your account page."
"i want my money back",refund_policy,"You can request a refund within 30 days from your account page."
"how much does it cost?",pricing,"You can find pricing on our website pricing page."
"what's the price?",pricing,"You can find pricing on our website pricing page."
"pricing details",pricing,"You can find pricing on our website pricing page."
"i need support",contact_support,"You can reach support at support@example.com or via the Help Center."
"help me please",contact_support,"You can reach support at support@example.com or via the Help Center."
"how can i contact you?",contact_support,"You can reach support at support@example.com or via the Help Center."
"bye",goodbye,"Goodbye! Have a great day."
"see you",goodbye,"Goodbye! Have a great day."
"thanks, bye",goodbye,"Goodbye! Have a great day."

